filename,true_label,pred_label,confidence,correct,usage,brightness_category,p50,variant,seed,inside_energy,outside_energy,border_ratio,peripheral_attention
001639a390f0.jpeg,4,4,0.6967701315879822,True,hold_out,Normal,115.0,adaptive_feather,42,0.9576461470278383,0.04235383130538985,0.1887001064100025,0.1088944213099682
0024cdab0c1e.jpeg,1,1,0.7922543287277222,True,hold_out,Dark,92.0,adaptive_feather,42,0.8129419626677721,0.18705807411393482,0.3390425966661388,0.24746621570637875
00e4ddff966a.jpeg,2,2,0.7246336936950684,True,hold_out,Bright,141.0,adaptive_feather,42,0.8144729452273821,0.1855270102123095,0.12576433254468283,0.08833820265981054
0125fbd2e791.jpeg,0,0,0.9840312004089355,True,hold_out,Normal,119.0,adaptive_feather,42,0.731125601208481,0.2688743603268908,0.2010596072372767,0.1820163853061318
01b3aed3ed4c.jpeg,1,1,0.9516568779945374,True,hold_out,Normal,111.0,adaptive_feather,42,0.7354235077413105,0.26457642474160353,0.3654811127253475,0.2743294318709184
02da652c74b8.jpeg,0,0,0.9557377696037292,True,hold_out,Normal,115.0,adaptive_feather,42,0.6923711203924312,0.30762877823440327,0.2760520559415555,0.250946198806247
02dda30d3acf.jpeg,4,4,0.8140813112258911,True,hold_out,Dark,93.0,adaptive_feather,42,0.8024815873948652,0.1975183662906209,0.30484056988236236,0.246196686022551
0318598cfd16.jpeg,4,4,0.3817850351333618,True,hold_out,Normal,126.0,adaptive_feather,42,0.9995664088327076,0.0004336188352524697,0.01468597103336311,0.00801678320674765
032d7b0b4bf6.jpeg,2,2,0.6023598909378052,True,hold_out,ExtremelyDark,59.0,adaptive_feather,42,0.5130469520348664,0.48695304796465866,0.2928999435579951,0.23826635201251842
03b373718013.jpeg,0,0,0.9946855306625366,True,hold_out,Normal,114.0,adaptive_feather,42,0.7209036883878064,0.2790963116117652,0.25695692249897045,0.23179714569152027
0415fc68b176.jpeg,2,2,0.6369316577911377,True,hold_out,ExtremelyDark,63.0,adaptive_feather,42,0.6490593822069238,0.35094061779246255,0.2550350221871551,0.20594674655611533
0519b934f6b1.jpeg,2,2,0.40643903613090515,True,hold_out,Dark,85.0,adaptive_feather,42,0.3101125552075423,0.6898874726534663,0.5734557731722861,0.4858258045269101
05339950962e.jpeg,0,0,0.9738147854804993,True,hold_out,Dark,100.0,adaptive_feather,42,0.6520027492642232,0.3479971759128702,0.23722897888263825,0.2175914487373268
054b1b305160.jpeg,0,0,0.9593570232391357,True,hold_out,Normal,115.0,adaptive_feather,42,0.6620065073842486,0.3379934497478552,0.19458032177118142,0.17895075262582738
06586082a24d.jpeg,0,0,0.9984630346298218,True,hold_out,Normal,113.0,adaptive_feather,42,0.14346648958778424,0.8565335704196018,0.7049678353294151,0.49002434869405803
0773a1c326ad.jpeg,0,0,0.9923893809318542,True,hold_out,VeryDark,70.0,adaptive_feather,42,0.11931923930610465,0.8806807606935485,0.7686097010357806,0.5356656372786379
07d8db76b301.jpeg,2,2,0.5338831543922424,True,hold_out,Dark,87.0,adaptive_feather,42,0.540322666007156,0.45967733399227945,0.30088415214262326,0.2072371814262115
0851d6a69589.jpeg,0,0,0.8959133625030518,True,hold_out,Dark,103.0,adaptive_feather,42,0.6073798083216534,0.39262024470311496,0.29075402159784025,0.26568257822255403
08bef347f40d.jpeg,0,0,0.9945746064186096,True,hold_out,Dark,104.0,adaptive_feather,42,0.697313921219601,0.3026860787797617,0.24531450814180952,0.2222427282697342
